beats,tempo,mfcc,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,chroma_stft,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_10,rmse_11,rmse_12,rmse_13,rmse_14,rmse_15,rmse_16,rmse_17,rmse_18,rmse_19,rmse_20,file
965,[143.5546875],0.7268282771110535,0.051238883050977777,6128.107769930415,2809.425792377168,3088.272619005241,0.62592846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Remember/Abel Ramos_Das spiegel_Electronica_Remember_1999.mp3
770,[139.67483108],4.520317554473877,0.06362556375380794,7270.049028934404,3316.4197111839676,3533.0337508915895,0.5657011,0.0,0.0,0.0,0.0,2.591013e-16,9.069754e-12,1.3769314e-07,2.4990757e-06,7.351551e-05,0.0041266438,0.0729185,0.12456251,0.18686692,0.23735487,0.26478976,0.27130413,0.25880983,0.23965421,0.21613374,0.20443058,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Remember/Allegro_Moments In Love_Electronica_Remember_1999.mp3
1227,[139.67483108],-0.41185274720191956,0.06361926152604133,6161.79671455149,2899.6534056334194,3131.7346731099087,0.46041587,0.0,0.0,0.0,0.0,0.0,2.613016e-10,7.6608785e-07,8.228013e-06,0.00011799108,0.0023006168,0.043222394,0.063525505,0.07168371,0.07742349,0.06754746,0.05004219,0.03810417,0.025515286,0.016666468,0.014669531,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Remember/Aquagen_Everybody Is Free_Electronica_Remember_2004.mp3
1251,[143.5546875],4.432338714599609,0.07524874921025944,6556.200561774998,3169.100469777434,3163.3429291861053,0.5020294,4.076524e-08,4.124269e-07,3.0276963e-06,6.9129073e-06,1.6308983e-05,0.00020422594,0.00033109405,0.00042039214,0.000502287,0.00054921495,0.0005952202,0.00062068313,0.0006773114,0.0007861987,0.00097420363,0.0010204865,0.001043688,0.0013949756,0.0015531279,0.001635902,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Remember/Butcher_Don't let the Sun go down_Electronica_Remember_2003.mp3
1042,[139.67483108],4.848339080810547,0.048831216409170076,6450.717247897941,2818.407689942365,3374.8718355136575,0.5789776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4042037e-14,7.46802e-12,2.636369e-09,2.293863e-08,9.8780944e-08,2.7949991e-07,1.5242842e-06,2.9267328e-06,6.2446843e-06,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Remember/C Base _In The Beginning_Electronica_Remember_2003.mp3
1076,[139.67483108],0.7859172224998474,0.05236266040585469,5509.449924046493,2553.181919377525,2983.772360424996,0.49661174,0.0,0.0,0.0,0.0,0.0,0.0,6.520807e-14,9.112742e-08,5.0200515e-07,1.1923926e-05,0.000548522,0.0010986784,0.0028636416,0.0056330343,0.009706908,0.014377256,0.018422773,0.022203477,0.024044516,0.024883518,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Remember/Dave 202_Baracuda_Electronica_Remember_2001.mp3
756,[161.49902344],5.228976726531982,0.08011721011283336,7293.895437556766,3447.0284613336053,3311.061935848971,0.58907145,0.0,0.0,0.0,0.0,0.0,2.3262427e-11,4.144364e-07,1.9136621e-06,1.6568412e-05,0.00014569436,0.00023052831,0.00029211855,0.0003214685,0.0003551568,0.05181494,0.06889084,0.08458859,0.10471797,0.103329435,0.1044228,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Remember/David_Max Apology_Electronica_Remember_2000.mp3
691,[99.38401442],-1.1418167352676392,0.05729086239009359,5144.183786345034,2486.556180059025,2627.9170647157025,0.5050564,0.0,0.0,1.990563e-12,7.206619e-11,1.16310524e-07,0.0020979892,0.0026796586,0.0026796593,0.0026796593,0.001667038,1.0338811e-05,0.0017764292,0.002860192,0.0062077064,0.007008072,0.0077889594,0.009100575,0.0076998174,0.007559637,0.0071360148,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Remember/Dj Crivi_Mankell (Gaupasa Version)_Electronica_Remember_2001.mp3
1121,[156.60511364],5.048874855041504,0.06746883851784156,7953.9458325552305,3630.2963224500136,3862.7950710563164,0.571749,0.0,0.0,0.0,1.4454768e-09,5.6647227e-06,5.660993e-05,0.00013026576,0.0651443,0.12805659,0.17553498,0.20851986,0.22415864,0.21045399,0.18028751,0.15088417,0.12161601,0.10691056,0.10575741,0.10368124,0.100446954,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Remember/Dj Rai_A Hidde Place_Electronica_Remember_2001.mp3
710,[139.67483108],2.484124183654785,0.09020761971384367,7603.388910353131,3664.0019603546402,3468.833437253034,0.6037843,1.1222561e-05,1.2191752e-05,1.4647375e-05,3.6589503e-05,0.15462102,0.27712592,0.35927644,0.43511263,0.4741754,0.47090408,0.4840005,0.5057011,0.5279529,0.5362872,0.5344462,0.50693136,0.4811673,0.47294086,0.44662192,0.42828798,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Remember/Dj Liberty_Seguro_Electronica_Remember_2004.mp3
